qid,subject,site,people
85014, error could not find data item,https://ask.openstack.org/en/question/85014/error-could-not-find-data-item-config\_use\_subnets-in-any-hiera-data-file/,9
84150, no valid host was found instance,https://ask.openstack.org/en/question/84150/no-valid-host-was-found-instance-created-with-error-status/,6
82995, instances dont get ip addresses,https://ask.openstack.org/en/question/82995/instances-dont-get-ip-addresses/,5
85224, openstack distribution for newbie to start,https://ask.openstack.org/en/question/85224/openstack-distribution-for-newbie-to-start-with/,5
84055, best approach to have instance utilization,https://ask.openstack.org/en/question/84055/best-approach-to-have-instance-utilization-monitoring/,5
85457, vif\_typebinding\_failed and cant launch instances error,https://ask.openstack.org/en/question/85457/vif\_typebinding\_failed-and-cant-launch-instances-error-message-could-not-clean-up-failed-build-not-rescheduling/,5
82964, resize vm error,https://ask.openstack.org/en/question/82964/resize-vm-error/,5
82750, no valid host was found when,https://ask.openstack.org/en/question/82750/no-valid-host-was-found-when-creating-new-vm/,5
85246, how can we deploy a software,https://ask.openstack.org/en/question/85246/how-can-we-deploy-a-software-on-openstack-eg-java/,5
84403, how to migrate a vm from,https://ask.openstack.org/en/question/84403/how-to-migrate-a-vm-from-one-host-to-another/,4
